"","school","preveducation","preveducationtype","prevCC","matrix_pre_1","matrix_pre_2","matrix_pre_3","matrix_pre_4","matrix_pre_5","matrix_pre_6","cc_choice"
"962","Mountain Heritage High School",1,"Lecture",NA,3,3,4,4,4,4,1
"963","Person High School",0,"",NA,1,2,4,4,4,3,1
"966","Clinton High School",2,"Video",NA,3,3,4,4,4,4,1
"967","Lincolnton High School",0,"",NA,4,4,4,4,4,3,1
"968","Pamlico County High School",0,"",NA,4,4,4,4,4,4,1
"969","Lincolnton High School",1,"Handout",NA,3,4,4,4,4,3,1
"971","Apex Friendship High School",4,"Other",NA,4,4,4,4,4,4,1
"976","Apex Friendship High School",0,"",NA,3,4,4,3,4,4,1
"989","Trinity High School",0,"",NA,3,4,4,4,4,3,1
"991","Apex Friendship High School",0,"",NA,3,3,4,4,4,4,1
"992","Hoke County High School",0,"",NA,4,3,4,3,4,2,1
"993","Apex Friendship High School",1,"Handout,Other",NA,2,2,4,3,4,3,1
"998","Lincolnton High School",1,"Handout",NA,3,4,4,4,4,4,1
"999","Charlotte Catholic High School",1,"Handout",NA,3,4,4,4,4,4,1
"1000","Lincolnton High School",0,"",NA,1,3,4,4,4,2,1
"1002","Trinity High School",1,"PowerPoint",NA,3,3,4,3,4,2,1
"1004","Pamlico County High School",1,"Lecture,PowerPoint,Video",NA,4,4,4,4,4,4,1
"1007","East Yancey High School",0,"",NA,3,4,4,4,4,3,1
"1008","Trinity High School",4,"PowerPoint",NA,3,4,4,4,4,3,1
"1014","Charlotte Catholic High School",0,"",NA,3,4,4,4,4,4,1
"1017","Charlotte Catholic High School",0,"",NA,3,3,3,3,4,3,1
"1019","Clinton High School",1,"Handout",NA,4,4,4,4,4,4,1
"1033","Clinton High School",0,"",NA,3,3,3,3,3,3,1
"1042","Trinity High School",2,"Handout,Lecture,Video",NA,3,4,4,4,4,4,1
"1044","Apex Friendship High School",0,"",NA,3,2,4,3,4,3,1
"1046","Clinton High School",0,"",NA,4,4,4,4,4,4,1
"1048","Pamlico County High School",0,"",NA,4,4,4,NA,4,4,1
"1049","Rocky Mount High School",0,"",NA,4,4,4,4,4,4,1
"1050","Charlotte Catholic High School",1,"Lecture",NA,3,4,4,3,4,3,1
"1052","Rocky Mount High School",0,"",NA,3,3,4,3,4,3,1
"1054","Montgomery Central High School",1,"Lecture,PowerPoint,Video",NA,3,2,4,4,4,4,1
"1058","Pamlico County High School",0,"",NA,4,4,4,4,4,4,1
"1061","Mountain Heritage High School",0,"",NA,3,3,4,3,4,3,1
